,question,answer,category,difficulty_level,tags,example_query,explanation,common_mistakes,related_questions
129,"You have a `sales` table that records the `order_id`, `product_id`, `customer_id`, `order_date`, and `amount`. You also have a `customers` table, which contains `customer_id`, `customer_name`, and `signup_date`. Write a SQL query to find the total amount spent by each customer who signed up in the last year, along with their names","WITH recent_customers AS ( SELECT customer_id FROM customers WHERE signup_date >= DATEADD(YEAR, -1, GETDATE()) ) SELECT c.customer_name, SUM(s.amount) AS total_spent FROM recent_customers rc INNER JOIN sales s ON rc.customer_id = s.customer_id INNER JOIN customers c ON rc.customer_id = c.customer_id GROUP BY c.customer_name",SQL,unknown,Intermediate,"Data Analyst, Aggregate Function, Join, CTE","SELECT c.customer_name, SUM(s.amount) AS total_spent FROM recent_customers rc INNER JOIN sales s ON rc.customer_id = s.customer_id INNER JOIN customers c ON rc.customer_id = c.customer_id GROUP BY c.customer_name",Not Available,This SQL query uses a Common Table Expression (CTE) to first identify recent customers who signed up within the last year. It then joins this result with the sales and customer tables to aggregate total spending by these customers
130,"You are given two tables: 'employees' with columns 'id', 'name', and 'manager_id' (where 'manager_id' points to the 'id' of another employee), and 'sales' with columns 'employee_id', 'sale_date', and 'amount'. Write a SQL query to find the total sales amount made by each employee, including their manager's name, sorted by total sales in descending order","SELECT e.name AS employee_name, e.manager_id, m.name AS manager_name, SUM(s.amount) AS total_sales FROM employees e LEFT JOIN employees m ON e.manager_id = m.id LEFT JOIN sales s ON e.id = s.employee_id GROUP BY e.name, e.manager_id, m.name ORDER BY total_sales DESC",SQL,unknown,Intermediate,"Data Analyst, SQL, Join, Aggregation","SELECT e.name AS employee_name, e.manager_id, m.name AS manager_name, SUM(s.amount) AS total_sales FROM employees e LEFT JOIN employees m ON e.manager_id = m.id LEFT JOIN sales s ON e.id = s.employee_id GROUP BY e.name, e.manager_id, m.name ORDER BY total_sales DESC",Not Available,"This query calculates the total sales for each employee, joins the 'employees' table with itself for accessing manager names and further joins with the 'sales' table to sum up the sales amounts. It groups the results by employee and manager names and orders by total sales in descending order"
131,"You are given two tables: `employees` (with columns `id`, `name`, `department_id`, and `salary`) and `departments` (with columns `id` and `department_name`). Write an SQL query to find the department with the highest average salary. If there are ties, return all departments with the highest average salary","WITH DepartmentAverage AS (SELECT d.department_name, AVG(e.salary) AS avg_salary FROM departments d JOIN employees e ON d.id = e.department_id GROUP BY d.department_name) SELECT department_name FROM DepartmentAverage WHERE avg_salary = (SELECT MAX(avg_salary) FROM DepartmentAverage)",SQL,unknown,Advanced,"Join, Aggregate function, CTE","WITH DepartmentAverage AS (SELECT d.department_name, AVG(e.salary) AS avg_salary FROM departments d JOIN employees e ON d.id = e.department_id GROUP BY d.department_name) SELECT department_name FROM DepartmentAverage WHERE avg_salary = (SELECT MAX(avg_salary) FROM DepartmentAverage)",Not Available,The query first calculates the average salary for each department using a Common Table Expression (CTE). It then selects the department(s) that have the maximum average salary by comparing it to the maximum found in the CTE
132,"You have a sales database with two tables: `sales` (containing `sale_id`, `product_id`, `sale_date`, `amount`) and `products` (containing `product_id`, `product_name`, `category`). Write a SQL query to find the total sales amount for each product category for the year 2023, and return the category name and the total sales amount ordered from highest to lowest","SELECT p.category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE YEAR(s.sale_date) = 2023 GROUP BY p.category ORDER BY total_sales DESC",SQL,unknown,Intermediate,"Data Analyst, Aggregate function, Join","SELECT p.category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE YEAR(s.sale_date) = 2023 GROUP BY p.category ORDER BY total_sales DESC",Not Available,"This query joins the `sales` and `products` tables on `product_id`, filters the sales for the year 2023, groups the results by product category, and sums the amounts to find total sales for each category, finally ordering the results by total sales amount"
133,"Given two tables, 'Employees' and 'Departments', you need to find the total number of employees in each department along with the department name, but only for departments that have more than five employees. How would you achieve this?","SELECT d.department_name, COUNT(e.employee_id) AS total_employees
FROM Departments d
JOIN Employees e ON d.department_id = e.department_id
GROUP BY d.department_name
HAVING COUNT(e.employee_id) > 5",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate function, Group By","SELECT d.department_name, COUNT(e.employee_id) AS total_employees FROM Departments d JOIN Employees e ON d.department_id = e.department_id GROUP BY d.department_name HAVING COUNT(e.employee_id) > 5",Not Available,"This SQL query joins the two tables 'Employees' and 'Departments', counts the number of employees in each department, groups the results by department name, and filters the results to include only those departments with more than five employees"
134,"You are tasked with analyzing sales data from two tables: 'orders' and 'customers'. The 'orders' table contains columns 'order_id', 'customer_id', 'amount', and 'order_date'. The 'customers' table includes 'customer_id', 'customer_name', and 'customer_region'. Write a SQL query that returns the total sales amount grouped by customer region and sorted in descending order of sales. Additionally, only include regions that have total sales greater than $10,000","SELECT c.customer_region, SUM(o.amount) AS total_sales FROM orders o JOIN customers c ON o.customer_id = c.customer_id GROUP BY c.customer_region HAVING SUM(o.amount) > 10000 ORDER BY total_sales DESC",SQL,unknown,Intermediate,"['JOIN', 'Aggregation', 'GROUP BY', 'HAVING']","SELECT customer_region, SUM(amount) AS total_sales FROM orders JOIN customers ON orders.customer_id = customers.customer_id GROUP BY customer_region HAVING SUM(amount) > 10000 ORDER BY total_sales DESC",Not Available,"This query joins the 'orders' and 'customers' tables on 'customer_id', groups the data by customer region, calculates the total sales for each region, filters regions with total sales over $10,000, and orders the result by total sales in descending order"
135,"You are given two tables: `employees` and `departments`. The `employees` table contains the columns `id`, `name`, `salary`, and `department_id`. The `departments` table includes `id` and `department_name`. Write a query to find the average salary of each department, but only include those departments where the average salary is above the overall average salary of all employees","WITH DepartmentAverages AS (SELECT d.department_name, AVG(e.salary) AS avg_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name) SELECT department_name, avg_salary FROM DepartmentAverages WHERE avg_salary > (SELECT AVG(salary) FROM employees)",SQL,unknown,Intermediate,"Data Analyst, SQL, Aggregate function, Join","SELECT department_name, AVG(salary) AS avg_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING avg_salary > (SELECT AVG(salary) FROM employees)",Not Available,"The query first computes the average salary of each department and stores it in a Common Table Expression (CTE). It then retrieves the department names and their average salaries where these are above the overall average salary of all employees, retrieved using a subquery"
136,"You are tasked with analyzing the sales data for a retail company. You need to create a report that shows the total sales per product category for each year, along with the percentage change compared to the previous year. The data is located in two tables: `sales` (fields: `sale_id`, `product_id`, `sale_amount`, `sale_date`) and `products` (fields: `product_id`, `category_id`, `product_name`). The `categories` table contains `category_id` and `category_name`. How would you write an SQL query to achieve this?","WITH yearly_sales AS ( SELECT p.category_id, YEAR(s.sale_date) AS year, SUM(s.sale_amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id GROUP BY p.category_id, YEAR(s.sale_date) ) SELECT ys.year, c.category_name, ys.total_sales, LAG(ys.total_sales) OVER (PARTITION BY ys.category_id ORDER BY ys.year) AS previous_year_sales, (ys.total_sales - LAG(ys.total_sales) OVER (PARTITION BY ys.category_id ORDER BY ys.year)) / NULLIF(LAG(ys.total_sales) OVER (PARTITION BY ys.category_id ORDER BY ys.year), 0) * 100 AS percentage_change FROM yearly_sales ys JOIN categories c ON ys.category_id = c.category_id ORDER BY ys.year, c.category_name",SQL,unknown,Advanced,"[""""Data Analyst"""", """"Data Engineer"""", """"Aggregate function"""", """"Window function"""", """"Join""""]","SELECT p.category_id, YEAR(s.sale_date) AS year, SUM(s.sale_amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id GROUP BY p.category_id, YEAR(s.sale_date)",Not Available,"This SQL query uses Common Table Expressions (CTE) to first aggregate the total sales by category and year, then it computes the percentage change from the previous year using the `LAG` window function. It joins the `yearly_sales` with the `categories` table to include meaningful category names in the final output"
137,"You have two tables - 'Employees' and 'Sales'. The 'Employees' table contains 'EmployeeID', 'Name', and 'Department'. The 'Sales' table contains 'SaleID', 'EmployeeID', 'SaleDate', and 'Amount'. Write a SQL query to find the total sales amount for each department, showing the department name and the total sales amount arranged in descending order of total sales","SELECT e.Department, SUM(s.Amount) AS TotalSales FROM Employees e JOIN Sales s ON e.EmployeeID = s.EmployeeID GROUP BY e.Department ORDER BY TotalSales DESC",SQL,unknown,Intermediate,"[""Join"", ""Aggregate Function"", ""Data Analysis""]","SELECT e.Department, SUM(s.Amount) AS TotalSales FROM Employees e JOIN Sales s ON e.EmployeeID = s.EmployeeID GROUP BY e.Department ORDER BY TotalSales DESC",Not Available,"This query joins the 'Employees' and 'Sales' tables on 'EmployeeID', aggregates the sales amount for each department using SUM, and orders the result set by total sales in descending order"
138,"You are given two tables: `employees` (with fields: `id`, `name`, `department_id`) and `departments` (with fields: `id`, `name`, `location`). Write a query to find the department name and average salary of employees in each department. Assume there is a `salary` field in the `employees` table","SELECT d.name AS department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.name",SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Join, Aggregate Function","SELECT d.name AS department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.name",Not Available,"The query joins the `employees` table with the `departments` table on the department ID, and calculates the average salary for the employees in each department using the AVG function, grouped by department"
139,"You have two tables: 'sales' (columns: sale_id, product_id, sale_date, quantity) and 'products' (columns: product_id, product_name, category). Write a SQL query to get the total quantity sold for each product in the 'Electronics' category for the year 2023. Include the product name in the result","SELECT p.product_name, SUM(s.quantity) AS total_quantity_sold FROM sales s JOIN products p ON s.product_id = p.product_id WHERE p.category = 'Electronics' AND YEAR(s.sale_date) = 2023 GROUP BY p.product_name",SQL,unknown,Intermediate,"[""Join"", ""Aggregate Function"", ""Data Analysis""]","SELECT p.product_name, SUM(s.quantity) AS total_quantity_sold FROM sales s JOIN products p ON s.product_id = p.product_id WHERE p.category = 'Electronics' AND YEAR(s.sale_date) = 2023 GROUP BY p.product_name",Not Available,This query joins the 'sales' and 'products' tables to filter sales for products in the 'Electronics' category for the year 2023 and aggregates the total quantity sold per product
140,"You have two tables: `employees` and `departments`. The `employees` table includes columns `id`, `name`, `salary`, and `department_id`. The `departments` table includes columns `id` and `department_name`. Write a SQL query to find the department names which have an average employee salary greater than $70,000, and list them in descending order of their average salary","WITH DeptAvgSalary AS (SELECT d.department_name, AVG(e.salary) AS avg_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name) SELECT department_name FROM DeptAvgSalary WHERE avg_salary > 70000 ORDER BY avg_salary DESC",SQL,unknown,Advanced,"[""Join"",""Aggregate function"",""CTE"",""Data Analysis""]",Not Available,"This query uses a Common Table Expression (CTE) to first calculate the average salary for each department and then filters to find departments with an average salary greater than $70,000, ordering the results by average salary in descending order","Candidates might forget to use GROUP BY, leading to SQL syntax errors, or they might misplace the filtering for average salary either before or inside the CTE"
141,"Given two tables, `employees` (with columns `id`, `name`, `department_id`, and `salary`) and `departments` (with columns `id` and `department_name`), write a SQL query to find the average salary of employees in each department along with the department name, and sort the result by average salary in descending order","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name ORDER BY average_salary DESC",SQL,unknown,Intermediate,"Data Analyst, Join, Aggregate Function","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name ORDER BY average_salary DESC",Not Available,"This query joins the `employees` and `departments` tables on the department ID, calculates the average salary of employees grouped by department, and sorts the results in descending order based on average salary"
142,"You are given two tables: `employees` (which contains `employee_id`, `name`, and `department_id`) and `departments` (which contains `department_id` and `department_name`). Write a SQL query to return the names of departments that have more than 5 employees along with the count of employees per department","SELECT d.department_name, COUNT(e.employee_id) AS employee_count FROM departments d JOIN employees e ON d.department_id = e.department_id GROUP BY d.department_name HAVING COUNT(e.employee_id) > 5",SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Join, Aggregate function","SELECT d.department_name, COUNT(e.employee_id) AS employee_count FROM departments d JOIN employees e ON d.department_id = e.department_id GROUP BY d.department_name HAVING COUNT(e.employee_id) > 5",Not Available,"The query uses a JOIN to link employees and departments, groups the results by department, counts the employees per department, and filters groups with more than 5 employees using HAVING"
143,"You have two tables: `employees` and `departments`. The `employees` table has columns `id`, `name`, `salary`, and `department_id`. The `departments` table has columns `id` and `name`. Write a SQL query to find the average salary of employees in each department. Order the results by department name","SELECT d.name AS department_name, AVG(e.salary) AS average_salary FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.name ORDER BY d.name",SQL,unknown,Intermediate,"Data Analyst, SQL, Join, Aggregate function","SELECT d.name AS department_name, AVG(e.salary) AS average_salary FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.name ORDER BY d.name",Not Available,This query calculates the average salary of employees grouped by their respective departments while also ensuring departments without any employees are included in the result using a LEFT JOIN
144,"Suppose you work for a retail company and have two tables: `Sales` and `Products`. The `Sales` table records each sale, including `sale_id`, `product_id`, `quantity`, and `sale_date`. The `Products` table contains `product_id`, `product_name`, and `price`. Write a SQL query to find the total revenue generated from each product for the last month (assuming the current date is '2023-10-31'). Order the result by total revenue in descending order","WITH MonthlySales AS (SELECT product_id, SUM(quantity * price) AS total_revenue FROM Sales S JOIN Products P ON S.product_id = P.product_id WHERE S.sale_date >= DATEADD(month, -1, '2023-10-31') GROUP BY S.product_id) SELECT P.product_name, MS.total_revenue FROM MonthlySales MS JOIN Products P ON MS.product_id = P.product_id ORDER BY MS.total_revenue DESC",SQL,unknown,Intermediate,"[""Join"",""Aggregation"",""CTE""]",Not Available,"This query uses a Common Table Expression (CTE) to first calculate total revenue per product over the last month and then selects the product names corresponding to those revenues, ordering the results by revenue in descending order","Candidates might forget to join the `Sales` and `Products` tables correctly, potentially leading to missing or incorrect total revenue calculations. They could also forget to filter sales by the specified date range"
145,"Given a sales database with two tables, `sales` (columns: `id`, `amount`, `date`, `customer_id`) and `customers` (columns: `customer_id`, `customer_name`, `city`), write a query to find the total sales amount by each city, and also rank the cities based on their total sales amount in descending order","WITH CitySales AS ( SELECT c.city, SUM(s.amount) AS total_sales FROM sales s JOIN customers c ON s.customer_id = c.customer_id GROUP BY c.city ) SELECT city, total_sales, RANK() OVER (ORDER BY total_sales DESC) AS rank FROM CitySales",SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Business Intelligence","Aggregate function, Join, CTE, Window Function","WITH CitySales AS ( SELECT c.city, SUM(s.amount) AS total_sales FROM sales s JOIN customers c ON s.customer_id = c.customer_id GROUP BY c.city ) SELECT city, total_sales, RANK() OVER (ORDER BY total_sales DESC) AS rank FROM CitySales",Not Available
146,"You are given two tables: `Employees` (columns: `EmployeeID`, `EmployeeName`, `DepartmentID`, `Salary`) and `Departments` (columns: `DepartmentID`, `DepartmentName`, `Location`). Write a SQL query to find the total salary expenditure of each department and the number of employees in each department, sorted by total salary expenditure in descending order","SELECT d.DepartmentName, SUM(e.Salary) AS TotalSalaryExpenditure, COUNT(e.EmployeeID) AS NumberOfEmployees FROM Employees e JOIN Departments d ON e.DepartmentID = d.DepartmentID GROUP BY d.DepartmentName ORDER BY TotalSalaryExpenditure DESC",SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Aggregate function, Join","SELECT d.DepartmentName, SUM(e.Salary) AS TotalSalaryExpenditure, COUNT(e.EmployeeID) AS NumberOfEmployees FROM Employees e JOIN Departments d ON e.DepartmentID = d.DepartmentID GROUP BY d.DepartmentName ORDER BY TotalSalaryExpenditure DESC",Not Available,"This SQL query joins the `Employees` and `Departments` tables on the `DepartmentID`, then computes the total salary expenditure and the number of employees per department by using SUM and COUNT functions, and finally sorts the results by total salary expenditure in descending order"
147,"You have two tables: `employees` (with columns: `id`, `name`, `department_id`, `salary`) and `departments` (with columns: `id`, `department_name`). Write a SQL query to find the department name and the average salary of employees in each department, but only include those departments with an average salary greater than $50,000","SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING AVG(e.salary) > 50000",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'Group By', 'HAVING']","Example: SELECT d.department_name, AVG(e.salary) AS average_salary FROM employees e JOIN departments d ON e.department_id = d.id GROUP BY d.department_name HAVING AVG(e.salary) > 50000",Not Available,"This query uses a JOIN to combine data from the employees and departments tables, then it calculates the average salary per department and filters out departments with an average salary less than or equal to $50,000 using the HAVING clause"
148,"Given two tables, `sales` and `products`, the `sales` table includes columns `product_id`, `quantity_sold`, and `sale_date`, while the `products` table includes `product_id`, `product_name`, and `category`. Write a SQL query to find the total quantity sold for each product in the category 'Electronics' for the last 30 days, ordered by the total quantity sold in descending order","WITH recent_sales AS (SELECT product_id, SUM(quantity_sold) AS total_quantity FROM sales WHERE sale_date >= CURRENT_DATE - INTERVAL '30 days' GROUP BY product_id) SELECT p.product_name, rs.total_quantity FROM recent_sales rs JOIN products p ON rs.product_id = p.product_id WHERE p.category = 'Electronics' ORDER BY rs.total_quantity DESC",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'CTE', 'Data Analysis']","SELECT product_name, total_quantity FROM (SELECT product_id, SUM(quantity_sold) AS total_quantity FROM sales WHERE sale_date >= CURRENT_DATE - INTERVAL '30 days' GROUP BY product_id) AS recent_sales JOIN products ON recent_sales.product_id = products.product_id WHERE products.category = 'Electronics' ORDER BY total_quantity DESC",Not Available,"This query uses a Common Table Expression (CTE) to first determine the total quantity sold for each product over the past 30 days, then joins this result with the `products` table to filter by the Electronics category and finally orders the results by total quantity sold"
149,"You are working as a Data Analyst for an e-commerce company and need to analyze the monthly sales trends. Given the 'sales' table with columns 'id', 'product_id', 'sale_date', 'amount' and a 'products' table with 'product_id' and 'category', write a query to find the total sales amount for each category for the last three months. The output should include the category name and total sales amount","WITH MonthlySales AS (SELECT p.category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= DATE_TRUNC('month', CURRENT_DATE) - INTERVAL '3 months' GROUP BY p.category) SELECT category, total_sales FROM MonthlySales",SQL,unknown,Intermediate,"[""Data Analyst"", ""Aggregate function"", ""Join"", ""CTE""]","WITH MonthlySales AS (SELECT p.category, SUM(s.amount) AS total_sales FROM sales s JOIN products p ON s.product_id = p.product_id WHERE s.sale_date >= DATE_TRUNC('month', CURRENT_DATE) - INTERVAL '3 months' GROUP BY p.category) SELECT category, total_sales FROM MonthlySales",Not Available,This query calculates the total sales for each product category over the last three months by first filtering the sales records and then aggregating the sales amounts using a Common Table Expression (CTE)
150,"You are given two tables: 'sales' (containing columns: sale_id, product_id, customer_id, sale_amount, sale_date) and 'products' (containing columns: product_id, product_name, category_id). Write a SQL query to find the total sales amount for each product along with the product name and the category ID. Sort the results by total sales amount in descending order","SELECT p.product_name, p.category_id, SUM(s.sale_amount) AS total_sales_amount FROM sales s JOIN products p ON s.product_id = p.product_id GROUP BY p.product_name, p.category_id ORDER BY total_sales_amount DESC",SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Join, Aggregation","SELECT p.product_name, p.category_id, SUM(s.sale_amount) AS total_sales_amount FROM sales s JOIN products p ON s.product_id = p.product_id GROUP BY p.product_name, p.category_id ORDER BY total_sales_amount DESC",Not Available,"The query joins the 'sales' table with the 'products' table on the 'product_id' column, aggregating the sales amounts for each product and sorting by the total sales amount in descending order"
151,"Given the following tables: `employees (id, name, department_id)`, `departments (id, department_name)`, `salaries (employee_id, salary_amount, effective_date)`, write a SQL query to find the average salary for each department that has more than 5 employees and the department name for those departments","WITH DepartmentEmployeeCount AS ( SELECT d.id AS department_id, d.department_name, COUNT(e.id) AS employee_count FROM departments d JOIN employees e ON d.id = e.department_id GROUP BY d.id HAVING COUNT(e.id) > 5 ), AverageSalaries AS ( SELECT d.department_id, AVG(s.salary_amount) AS average_salary FROM salaries s JOIN employees e ON s.employee_id = e.id JOIN DepartmentEmployeeCount dec ON e.department_id = dec.department_id GROUP BY d.department_id ) SELECT dec.department_name, avg_s.average_salary FROM DepartmentEmployeeCount dec JOIN AverageSalaries avg_s ON dec.department_id = avg_s.department_id",SQL,unknown,Intermediate,"Data Analyst, Data Engineer, Join, Aggregate Function, CTE","SELECT d.department_name, AVG(s.salary_amount) AS average_salary FROM departments d JOIN employees e ON d.id = e.department_id JOIN salaries s ON e.id = s.employee_id GROUP BY d.department_name HAVING COUNT(e.id) > 5",Not Available,The query uses Common Table Expressions (CTEs) to first calculate the count of employees in each department and filter out departments with less than or equal to 5 employees. It then calculates the average salary for the remaining departments
152,"You are given two tables: `sales` and `products`. The `sales` table contains columns `sale_id`, `product_id`, `quantity`, and `sale_date`. The `products` table has `product_id`, `product_name`, and `category`. Write a SQL query to find the total quantity sold for each product category in the year 2022, and display the category along with its total quantity sold, ordered by the total quantity in descending order","SELECT p.category, SUM(s.quantity) AS total_quantity_sold FROM sales s JOIN products p ON s.product_id = p.product_id WHERE YEAR(s.sale_date) = 2022 GROUP BY p.category ORDER BY total_quantity_sold DESC",SQL,unknown,Intermediate,"'[""Data Analyst"", ""Data Engineer"", ""Aggregate function"", ""Join""]'","SELECT p.category, SUM(s.quantity) AS total_quantity_sold FROM sales s JOIN products p ON s.product_id = p.product_id WHERE YEAR(s.sale_date) = 2022 GROUP BY p.category ORDER BY total_quantity_sold DESC",Not Available,"This query joins the `sales` and `products` tables on the `product_id`, filters for sales in 2022, groups the results by product category, and sums the quantity sold for each category, ordering the results by the total quantity sold"
153,"Given a sales database with the tables 'sales' (id, product_id, amount, sale_date) and 'products' (id, category, price), write a query to find the total sales amount for each product category over the last 30 days, and sort the results by total sales in descending order. Additionally, include the average price of products in each category","SELECT p.category, SUM(s.amount) AS total_sales, AVG(p.price) AS average_price FROM sales s JOIN products p ON s.product_id = p.id WHERE s.sale_date >= NOW() - INTERVAL '30 days' GROUP BY p.category ORDER BY total_sales DESC",SQL,unknown,Intermediate,"Data Analyst, Aggregate function, Join","SELECT p.category, SUM(s.amount) AS total_sales, AVG(p.price) AS average_price FROM sales s JOIN products p ON s.product_id = p.id WHERE s.sale_date >= NOW() - INTERVAL '30 days' GROUP BY p.category ORDER BY total_sales DESC",Not Available,"The query joins the 'sales' table with the 'products' table on the product_id. It filters the sales within the last 30 days, groups the result by product category, calculates the total sales amount and average price per category, and sorts the result by total sales in descending order"
154,"Given a customer orders table and a products table, write an SQL query to find the top 5 products by total sales revenue for the year 2023. Include product name and total revenue in the result. Products with no sales should not appear in the result","WITH Revenue AS (SELECT p.product_name, SUM(o.order_amount) AS total_revenue FROM orders o JOIN products p ON o.product_id = p.product_id WHERE YEAR(o.order_date) = 2023 GROUP BY p.product_name) SELECT product_name, total_revenue FROM Revenue ORDER BY total_revenue DESC LIMIT 5",SQL,unknown,Intermediate,"Data Analyst, Aggregate function, Join","SELECT p.product_name, SUM(o.order_amount) AS total_revenue FROM orders o JOIN products p ON o.product_id = p.product_id WHERE YEAR(o.order_date) = 2023 GROUP BY p.product_name ORDER BY total_revenue DESC LIMIT 5",Not Available,"This SQL query uses a Common Table Expression (CTE) to first calculate the total revenue for each product in 2023, grouping by product name. The outer query then selects the top 5 products based on the total revenue"
155,"You are tasked with generating a report that shows the total sales made by each salesperson in the last year, along with the average sales per month and the total number of sales transactions they completed. You have two tables: 'sales' and 'salespersons'. The 'sales' table contains columns: 'sale_id', 'salesperson_id', 'sale_amount', and 'sale_date'. The 'salespersons' table contains 'salesperson_id' and 'salesperson_name'. Write an SQL query to achieve this","SELECT sp.salesperson_name, 
                         COUNT(s.sale_id) AS total_transactions,
                         SUM(s.sale_amount) AS total_sales,
                         AVG(s.sale_amount) AS avg_sales_per_month
                  FROM sales s
                  JOIN salespersons sp ON s.salesperson_id = sp.salesperson_id
                  WHERE s.sale_date >= DATEADD(year, -1, GETDATE())
                  GROUP BY sp.salesperson_name",SQL,unknown,Intermediate,"['Join', 'Aggregate function', 'Group by']","SELECT salesperson_name, 
                         COUNT(sale_id) AS total_transactions,
                         SUM(sale_amount) AS total_sales,
                         AVG(sale_amount) AS avg_sales_per_month
                  FROM sales s
                  JOIN salespersons sp ON s.salesperson_id = sp.salesperson_id
                  WHERE sale_date >= DATEADD(year, -1, GETDATE())
                  GROUP BY salesperson_name",Not Available,"This query joins the 'sales' and 'salespersons' tables to aggregate sales data for each salesperson. It filters sales within the last year and groups the results by salesperson, calculating total transactions, total sales, and average sales per month"
156,"You are analyzing a company's sales data and need to identify the top 3 products by sales for each region. Each sale is recorded in a 'sales' table with the columns 'product_id', 'region', 'sale_amount', and there is a 'products' table with 'product_id' and 'product_name'. Write a SQL query to achieve this","WITH RankedSales AS (SELECT p.product_name, s.region, s.sale_amount, RANK() OVER (PARTITION BY s.region ORDER BY s.sale_amount DESC) as sales_rank FROM sales s JOIN products p ON s.product_id = p.product_id) SELECT product_name, region, sale_amount FROM RankedSales WHERE sales_rank <= 3",SQL,unknown,Intermediate,"Window Function, Join, Aggregate Function","WITH RankedSales AS (SELECT p.product_name, s.region, s.sale_amount, RANK() OVER (PARTITION BY s.region ORDER BY s.sale_amount DESC) as sales_rank FROM sales s JOIN products p ON s.product_id = p.product_id) SELECT product_name, region, sale_amount FROM RankedSales WHERE sales_rank <= 3",Not Available,This query uses a Common Table Expression (CTE) to first rank products by their sales amount per region using the RANK() window function. It then filters this ranked data to return only the top 3 products for each region
157,"Given a table `sales` with columns `id`, `sales_person`, `region`, `amount`, and a table `sales_targets` with columns `sales_person`, `target`, write a query to find each sales person's total amount and whether they met their target ('Yes' or 'No')","SELECT s.sales_person, SUM(s.amount) AS total_sales, CASE WHEN SUM(s.amount) >= st.target THEN 'Yes' ELSE 'No' END AS met_target FROM sales s JOIN sales_targets st ON s.sales_person = st.sales_person GROUP BY s.sales_person",SQL,unknown,Intermediate,"['Data Analyst', 'Sales Analysis', 'Join', 'Aggregate Function']","SELECT sales_person, SUM(amount) FROM sales GROUP BY sales_person",Not Available,"This query joins the `sales` and `sales_targets` tables on the `sales_person` column, aggregates the sales amounts, and uses a CASE statement to determine if each sales person met their target"
158,"Given two tables, `employees` (id, name, department_id) and `departments` (id, department_name), write a SQL query to find the number of employees in each department along with the department name. If a department has no employees, it should still be included in the results","SELECT d.department_name, COUNT(e.id) AS employee_count FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.department_name ORDER BY d.department_name",SQL,unknown,Intermediate,"['Join', 'Aggregate Function', 'Data Analysis']","SELECT d.department_name, COUNT(e.id) AS employee_count FROM departments d LEFT JOIN employees e ON d.id = e.department_id GROUP BY d.department_name ORDER BY d.department_name",Not Available,"This query uses a LEFT JOIN to combine the departments and employees tables, allowing departments with no employees to be included in the results. The COUNT function counts employees and the results are grouped by department name to provide the desired aggregate"
159,"You have a sales database with two tables: `sales` and `employees`. The `sales` table contains columns `id`, `amount`, `employee_id`, and `sale_date`. The `employees` table contains `id`, `name`, and `hire_date`. Write a query to find the total sales amount by each employee who has sold more than $10,000 in total sales since their hire date, and display it with their name and hire date","WITH EmployeeSales AS (SELECT e.id, e.name, e.hire_date, SUM(s.amount) AS total_sales FROM employees e JOIN sales s ON e.id = s.employee_id WHERE s.sale_date >= e.hire_date GROUP BY e.id, e.name, e.hire_date) SELECT name, hire_date, total_sales FROM EmployeeSales WHERE total_sales > 10000",SQL,unknown,Advanced,"CTE, Join, Aggregate function, Data Analysis","WITH EmployeeSales AS (SELECT e.id, e.name, e.hire_date, SUM(s.amount) AS total_sales FROM employees e JOIN sales s ON e.id = s.employee_id WHERE s.sale_date >= e.hire_date GROUP BY e.id, e.name, e.hire_date) SELECT name, hire_date, total_sales FROM EmployeeSales WHERE total_sales > 10000",Not Available,"This SQL code uses a Common Table Expression (CTE) to first calculate total sales for each employee since their hire date, then filters to return only those with sales over 10,000"
