"id";"question";"answer";"category";"difficulty_level";"tags";"example_query";"explanation";"common_mistakes";"related_questions"
"27";"Write a SQL query to calculate the customer retention rate from the 'purchases' table.";"SELECT (COUNT(DISTINCT user_id) / (SELECT COUNT(DISTINCT user_id) FROM purchases WHERE purchase_date < DATEADD(year, -1, GETDATE()))) * 100 AS retention_rate FROM purchases WHERE purchase_date >= DATEADD(year, -1, GETDATE());";"SQL";"Advanced";"Data Analyst, Marketing Analyst";"SELECT (COUNT(DISTINCT user_id) / (SELECT COUNT(DISTINCT user_id) FROM purchases WHERE purchase_date < DATEADD(year, -1, GETDATE()))) * 100 AS retention_rate FROM purchases WHERE purchase_date >= DATEADD(year, -1, GETDATE());";"This calculates the retention rate for customers based on prior year purchases.";"Misunderstanding what constitutes a returning customer.";"What is cohort analysis?; How to measure engagement?"
"28";"Write a SQL query to find the most frequently purchased product from 'sales' table.";"SELECT product_id, COUNT(*) AS purchase_count FROM sales GROUP BY product_id ORDER BY purchase_count DESC LIMIT 1;";"SQL";"Intermediate";"Data Analyst, Business Analyst";"SELECT product_id, COUNT(*) AS purchase_count FROM sales GROUP BY product_id ORDER BY purchase_count DESC LIMIT 1;";"This finds the product with the highest sales volume.";"Failing to correctly aggregate purchase counts.";"What are sales performance metrics?; How to analyze product popularity?"
"29";"In a 'sessions' table, how would you write a query to find the average session duration per user?";"SELECT user_id, AVG(TIMESTAMPDIFF(SECOND, start_time, end_time)) AS average_duration FROM sessions WHERE end_time IS NOT NULL GROUP BY user_id;";"SQL";"Intermediate";"Data Analyst, User Researcher";"SELECT user_id, AVG(TIMESTAMPDIFF(SECOND, start_time, end_time)) AS average_duration FROM sessions WHERE end_time IS NOT NULL GROUP BY user_id;";"This calculates the average duration of sessions for each user.";"Confusing start and end times.";"What are session metrics?; How to optimize user experience?"
"30";"Write a SQL query to count how many products are there in stock by category.";"SELECT category, COUNT(*) AS total_products FROM products WHERE stock > 0 GROUP BY category;";"SQL";"Easy";"Inventory Manager, Data Analyst";"SELECT category, COUNT(*) AS total_products FROM products WHERE stock > 0 GROUP BY category;";"This counts products that are in stock, categorized.";"Failing to filter correctly.";"What is stock management?; How to analyze product availability?"
"31";"Assume a 'user_activity' table with 'user_id', 'activity_type', and 'timestamp'. Write a query to find the most common activity type.";"SELECT activity_type, COUNT(*) AS count FROM user_activity GROUP BY activity_type ORDER BY count DESC LIMIT 1;";"SQL";"Intermediate";"Data Analyst, UX Researcher";"SELECT activity_type, COUNT(*) AS count FROM user_activity GROUP BY activity_type ORDER BY count DESC LIMIT 1;";"This finds the activity type with the highest count.";"Not using GROUP BY effectively.";"What are user behavior metrics?; How to analyze trends?"
"32";"Write a SQL query to determine the number of new users registered each month.";"SELECT MONTH(registration_date) AS reg_month, COUNT(*) AS new_users FROM users GROUP BY MONTH(registration_date);";"SQL";"Intermediate";"Data Analyst, Business Analyst";"SELECT MONTH(registration_date) AS reg_month, COUNT(*) AS new_users FROM users GROUP BY MONTH(registration_date);";"This totals new user registrations by month.";"Conflicting date formats.";"What are user growth metrics?; How to analyze registration trends?"
"33";"You have a 'feedback' table with 'user_id', 'rating', and 'comments'. Write a query to find the average rating given by each user.";"SELECT user_id, AVG(rating) AS average_rating FROM feedback GROUP BY user_id;";"SQL";"Intermediate";"Data Analyst, Product Manager";"SELECT user_id, AVG(rating) AS average_rating FROM feedback GROUP BY user_id;";"This determines average feedback ratings per user.";"Not properly handling NULL ratings.";"What are feedback metrics?; How to analyze customer satisfaction?"
"34";"Given a 'subscriptions' table, write a SQL query to calculate the churn rate.";"SELECT (SUM(CASE WHEN status = 'canceled' THEN 1 ELSE 0 END) / COUNT(*)) * 100 AS churn_rate FROM subscriptions;";"SQL";"Advanced";"Data Analyst, Business Analyst";"SELECT (SUM(CASE WHEN status = 'canceled' THEN 1 ELSE 0 END) / COUNT(*)) * 100 AS churn_rate FROM subscriptions;";"This calculates the percentage of canceled subscriptions.";"Ignoring active subscription counts.";"What is customer retention?; How to measure subscription performance?"
"35";"In an 'analytics' table with 'session_id', 'start_time', and 'end_time', write a query to find the average session length.";"SELECT AVG(TIMESTAMPDIFF(SECOND, start_time, end_time)) AS average_session_length FROM analytics;";"SQL";"Intermediate";"Data Analyst, User Researcher";"SELECT AVG(TIMESTAMPDIFF(SECOND, start_time, end_time)) AS average_session_length FROM analytics;";"This gives the average time users spend in sessions.";"Failing to handle session end correctly.";"What are engagement metrics?; How to improve user experience?"
"36";"Write a query to find all employees who have the same manager.";"SELECT e1.id, e1.name, e2.name AS manager_name FROM employees e1 JOIN employees e2 ON e1.manager_id = e2.id;";"SQL";"Intermediate";"HR Analyst, Data Analyst";"SELECT e1.id, e1.name, e2.name AS manager_name FROM employees e1 JOIN employees e2 ON e1.manager_id = e2.id;";"This retrieves employees along with their respective managers.";"Not distinguishing different manager relationships.";"What are organizational structures?; How to analyze team dynamics?"
"37";"Write a SQL query to list products with a quantity less than the average quantity of all products.";"SELECT * FROM products WHERE quantity < (SELECT AVG(quantity) FROM products);";"SQL";"Intermediate";"Inventory Manager, Data Analyst";"SELECT * FROM products WHERE quantity < (SELECT AVG(quantity) FROM products);";"This identifies products that are below average stock level.";"Misunderstanding the scope of aggregate functions.";"What are stock metrics?; How to manage inventory levels?"
"38";"Write a query that retrieves the total revenue generated from each product category.";"SELECT category, SUM(price * quantity_sold) AS total_revenue FROM sales GROUP BY category;";"SQL";"Intermediate";"Data Analyst, Business Analyst";"SELECT category, SUM(price * quantity_sold) AS total_revenue FROM sales GROUP BY category;";"This calculates total revenue by category.";"Failing to multiply price and quantity correctly.";"What are sales analysis techniques?; How to structure financial reports?"
"39";"In a 'messages' table, write a query to count unread messages by user.";"SELECT user_id, COUNT(*) AS unread_count FROM messages WHERE is_read = FALSE GROUP BY user_id;";"SQL";"Easy";"Data Analyst, Communications Manager";"SELECT user_id, COUNT(*) AS unread_count FROM messages WHERE is_read = FALSE GROUP BY user_id;";"This counts unread messages for each user.";"Not handling message status correctly.";"What are communication metrics?; How to improve inbox management?"
"40";"Write a query to find users who signed up in the last 30 days and are in the premium plan.";"SELECT * FROM users WHERE registration_date >= DATEADD(day, -30, GETDATE()) AND plan_type = 'premium';";"SQL";"Easy";"Data Analyst, Marketing Manager";"SELECT * FROM users WHERE registration_date >= DATEADD(day, -30, GETDATE()) AND plan_type = 'premium';";"This filters for recent premium sign-ups.";"Failing to check plan type properly.";"What are user acquisition metrics?; How to optimize planning strategies?"
"41";"You have a 'clicks' table containing 'user_id', 'product_id', and 'timestamp'. Write a query to find users who clicked on more than 5 products in a day.";"SELECT user_id, COUNT(DISTINCT product_id) AS clicks FROM clicks WHERE DATE(timestamp) = CURDATE() GROUP BY user_id HAVING clicks > 5;";"SQL";"Intermediate";"Data Analyst, Marketing Analyst";"SELECT user_id, COUNT(DISTINCT product_id) AS clicks FROM clicks WHERE DATE(timestamp) = CURDATE() GROUP BY user_id HAVING clicks > 5;";"This identifies users who engaged significantly in a day.";"Misunderstanding click counts per user.";"What are engagement metrics?; How to analyze user interactions?"
"42";"Write a SQL query to find all orders that were shipped late.";"SELECT * FROM orders WHERE shipped_date > delivery_date;";"SQL";"Intermediate";"Logistics Manager, Data Analyst";"SELECT * FROM orders WHERE shipped_date > delivery_date;";"This finds orders with delivery issues.";"Not clearly defining late shipments.";"What are logistics metrics?; How to manage delivery times?"
"43";"Given a 'spending' table containing 'user_id', 'amount' and 'date', write a query to find the highest spending day for each user.";"SELECT user_id, date, MAX(amount) AS highest_spending FROM spending GROUP BY user_id, date;";"SQL";"Advanced";"Data Analyst, Financial Analyst";"SELECT user_id, date, MAX(amount) AS highest_spending FROM spending GROUP BY user_id, date;";"This identifies the peak spending day for each user.";"Misunderstanding the grouping-level within the query.";"What are spending habits?; How to analyze financial performance?"
"44";"Write a query to find the average number of clicks per user over the last month.";"SELECT user_id, AVG(click_count) AS average_clicks FROM (SELECT user_id, COUNT(*) AS click_count FROM clicks WHERE timestamp >= DATEADD(month, -1, GETDATE()) GROUP BY user_id);";"SQL";"Intermediate";"Data Analyst, User Researcher";"SELECT user_id, AVG(click_count) AS average_clicks FROM (SELECT user_id, COUNT(*) AS click_count FROM clicks WHERE timestamp >= DATEADD(month, -1, GETDATE()) GROUP BY user_id);";"This summarizes user engagement by click counts.";"Neglecting to wrap the inner query correctly.";"What are engagement metrics?; How to analyze user interaction?"
"45";"Looking at a 'products' table, write a query to find all suppliers with more than 5 products.";"SELECT supplier_id FROM products GROUP BY supplier_id HAVING COUNT(product_id) > 5;";"SQL";"Intermediate";"Data Analyst, Supplier Manager";"SELECT supplier_id FROM products GROUP BY supplier_id HAVING COUNT(product_id) > 5;";"This identifies suppliers with a larger product catalog.";"Not correctly applying the HAVING clause.";"What are product management techniques?; How to evaluate supplier performance?"
"46";"In a 'subscriptions' table with 'user_id', 'start_date', and 'end_date', write a query to retrieve active subscriptions.";"SELECT * FROM subscriptions WHERE end_date IS NULL OR end_date > NOW();";"SQL";"Easy";"Data Analyst, Subscription Manager";"SELECT * FROM subscriptions WHERE end_date IS NULL OR end_date > NOW();";"This retrieves current subscriptions for users.";"Confusing active with expired subscriptions.";"What are retention metrics?; How to evaluate customer engagement?"
"47";"Write a SQL query to find all customers who purchased the same product more than once.";"SELECT customer_id, product_id, COUNT(*) AS purchase_count FROM purchases GROUP BY customer_id, product_id HAVING purchase_count > 1;";"SQL";"Intermediate";"Data Analyst, Marketing Analyst";"SELECT customer_id, product_id, COUNT(*) AS purchase_count FROM purchases GROUP BY customer_id, product_id HAVING purchase_count > 1;";"This highlights repeat customers for specific products.";"Not accounting for the grouping correctly.";"What are customer loyalty metrics?; How to evaluate product performance?"
"48";"Assuming you have a 'visits' table with 'user_id', 'visit_date', and 'duration', write a query to calculate the total time spent by all users this month.";"SELECT SUM(duration) AS total_time FROM visits WHERE MONTH(visit_date) = MONTH(CURRENT_DATE);";"SQL";"Intermediate";"Data Analyst, Marketing Analyst";"SELECT SUM(duration) AS total_time FROM visits WHERE MONTH(visit_date) = MONTH(CURRENT_DATE);";"This sums total visit time for the current month.";"Neglecting to group or filter for the right date.";"What are engagement metrics?; How to analyze user activity?"
"49";"Write a query to find product categories with no products in stock.";"SELECT DISTINCT category FROM products WHERE quantity = 0;";"SQL";"Intermediate";"Inventory Manager, Data Analyst";"SELECT DISTINCT category FROM products WHERE quantity = 0;";"This identifies categories lacking stock.";"Misunderstanding groupings for empty categories.";"What are stock management strategies?; How to evaluate product performance?"
"50";"Given an 'appointments' table containing 'customer_id', 'appointment_date', and 'canceled' flag, write a query to calculate the cancellation rate.";"SELECT (SUM(CASE WHEN canceled = 1 THEN 1 ELSE 0 END) / COUNT(*)) * 100 AS cancellation_rate FROM appointments;";"SQL";"Advanced";"Data Analyst, Business Analyst";"SELECT (SUM(CASE WHEN canceled = 1 THEN 1 ELSE 0 END) / COUNT(*)) * 100 AS cancellation_rate FROM appointments;";"This calculates the percentage of canceled appointments.";"Not accounting for cases with no appointments.";"What are retention metrics?; How to manage appointment scheduling?"
